epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,505.827,1.47434,1.09487,0.93356,0.383,0.28203,0.27536,0.15496,1.44571,1.10342,0.92368,0.007921,0.007921,0.007921
44,515.266,1.45035,1.07998,0.93431,0.40042,0.28964,0.287,0.1641,1.41467,1.06821,0.9182,0.0078715,0.0078715,0.0078715
45,525.113,1.42732,1.07846,0.92959,0.35658,0.29941,0.27887,0.16068,1.40313,1.08906,0.9193,0.007822,0.007822,0.007822
46,534.424,1.43987,1.07877,0.93435,0.39766,0.30037,0.29006,0.16523,1.41108,1.08161,0.92209,0.0077725,0.0077725,0.0077725
47,544.166,1.43206,1.05957,0.93261,0.36924,0.29915,0.28079,0.15803,1.42279,1.0945,0.92009,0.007723,0.007723,0.007723
48,554.07,1.42159,1.05096,0.92918,0.37356,0.29733,0.28251,0.1613,1.42248,1.07726,0.91994,0.0076735,0.0076735,0.0076735
49,563.662,1.41672,1.0662,0.92863,0.39866,0.29195,0.28242,0.1607,1.41814,1.10243,0.92121,0.007624,0.007624,0.007624
50,572.914,1.41213,1.0525,0.92406,0.37967,0.2914,0.27916,0.15795,1.43177,1.0938,0.91965,0.0075745,0.0075745,0.0075745
51,581.85,1.41455,1.0552,0.92411,0.39933,0.29682,0.2889,0.16535,1.40118,1.06492,0.91729,0.007525,0.007525,0.007525
52,592.012,1.42752,1.05161,0.9296,0.37572,0.29346,0.27842,0.15982,1.40923,1.09193,0.91383,0.0074755,0.0074755,0.0074755
53,601.373,1.43601,1.05776,0.92738,0.38931,0.30056,0.29022,0.16512,1.39257,1.05598,0.91541,0.007426,0.007426,0.007426
54,610.485,1.41347,1.03531,0.92552,0.37596,0.29183,0.28339,0.161,1.40999,1.08231,0.92015,0.0073765,0.0073765,0.0073765
55,620.52,1.41783,1.04174,0.92526,0.3753,0.30019,0.28402,0.16119,1.39411,1.05427,0.9168,0.007327,0.007327,0.007327
56,629.301,1.42622,1.05182,0.9292,0.39748,0.3046,0.2873,0.1625,1.41346,1.08236,0.92451,0.0072775,0.0072775,0.0072775
57,639.419,1.42504,1.03963,0.92698,0.39931,0.30266,0.29135,0.1648,1.38991,1.07868,0.91468,0.007228,0.007228,0.007228
58,648.096,1.42019,1.03471,0.9245,0.35979,0.29833,0.27813,0.15741,1.40572,1.09977,0.9157,0.0071785,0.0071785,0.0071785
59,657.283,1.44027,1.05223,0.92864,0.41082,0.29542,0.29611,0.17153,1.39745,1.05388,0.917,0.007129,0.007129,0.007129
60,666.356,1.43108,1.04356,0.92838,0.4082,0.29363,0.29344,0.16618,1.41265,1.07196,0.91915,0.0070795,0.0070795,0.0070795
61,675.368,1.41991,1.02914,0.92673,0.39889,0.30597,0.2986,0.17136,1.38702,1.05214,0.91175,0.00703,0.00703,0.00703
62,685.031,1.41469,1.03474,0.9262,0.40582,0.29971,0.29428,0.16879,1.3913,1.05533,0.91442,0.0069805,0.0069805,0.0069805
63,693.392,1.39946,1.02884,0.9241,0.40793,0.30633,0.30223,0.17226,1.38145,1.04062,0.91647,0.006931,0.006931,0.006931
64,702.391,1.40189,1.03586,0.92533,0.39278,0.30162,0.29169,0.16734,1.38372,1.0544,0.9126,0.0068815,0.0068815,0.0068815
65,710.929,1.40456,1.0266,0.92317,0.38631,0.30677,0.29824,0.17031,1.38359,1.05297,0.91096,0.006832,0.006832,0.006832
66,720.203,1.40563,1.02672,0.92188,0.38702,0.295,0.28504,0.1643,1.37252,1.05199,0.91252,0.0067825,0.0067825,0.0067825
67,728.886,1.40174,1.02569,0.92076,0.40374,0.29638,0.29182,0.16779,1.38726,1.05569,0.914,0.006733,0.006733,0.006733
68,738.684,1.40263,1.02492,0.92372,0.39951,0.31,0.30576,0.17662,1.36015,1.03356,0.91031,0.0066835,0.0066835,0.0066835
69,748.095,1.39848,1.01448,0.91707,0.40577,0.31199,0.30472,0.17257,1.3765,1.02877,0.91019,0.006634,0.006634,0.006634
70,756.911,1.39934,1.00952,0.92019,0.3883,0.31327,0.29811,0.17156,1.37253,1.03296,0.90976,0.0065845,0.0065845,0.0065845
71,765.628,1.39137,0.99852,0.91913,0.41136,0.30984,0.30609,0.17409,1.38182,1.04446,0.91237,0.006535,0.006535,0.006535
72,774.936,1.39934,1.01751,0.92203,0.39379,0.30725,0.29712,0.17261,1.36206,1.04243,0.908,0.0064855,0.0064855,0.0064855
73,784.905,1.40864,1.01211,0.92157,0.38717,0.31191,0.29947,0.17041,1.38463,1.03215,0.91058,0.006436,0.006436,0.006436
74,793.926,1.39235,0.9964,0.91846,0.40813,0.30301,0.29401,0.1693,1.38585,1.0612,0.91038,0.0063865,0.0063865,0.0063865
75,802.452,1.39803,1.0094,0.91824,0.39912,0.30111,0.29423,0.16679,1.38757,1.04693,0.90977,0.006337,0.006337,0.006337
76,811.188,1.41232,1.0049,0.92194,0.39685,0.31091,0.30052,0.17052,1.39282,1.04087,0.9131,0.0062875,0.0062875,0.0062875
77,820.583,1.40108,1.00594,0.91577,0.39987,0.3094,0.3036,0.17546,1.35834,1.03028,0.90878,0.006238,0.006238,0.006238
78,829.258,1.37982,1.00238,0.91697,0.39865,0.3117,0.29914,0.17125,1.37564,1.02706,0.91263,0.0061885,0.0061885,0.0061885
79,838.205,1.39361,1.0139,0.91731,0.4019,0.30836,0.29776,0.16961,1.37867,1.04063,0.91077,0.006139,0.006139,0.006139
80,847.568,1.38584,1.00568,0.9178,0.41465,0.31214,0.30563,0.176,1.37091,1.03147,0.91102,0.0060895,0.0060895,0.0060895
81,856.756,1.38984,1.00059,0.91571,0.41455,0.31244,0.30592,0.17457,1.36149,1.0413,0.90744,0.00604,0.00604,0.00604
82,865.581,1.39576,1.00122,0.91856,0.4235,0.30811,0.30605,0.17451,1.35725,1.02963,0.90552,0.0059905,0.0059905,0.0059905
83,874.71,1.38649,1.00034,0.9209,0.39806,0.31008,0.30292,0.17092,1.37694,1.03307,0.9111,0.005941,0.005941,0.005941
84,883.78,1.38128,0.99244,0.91538,0.41015,0.31627,0.30622,0.17763,1.35931,1.02173,0.90751,0.0058915,0.0058915,0.0058915
85,892.48,1.36804,0.97119,0.9153,0.40867,0.31605,0.31101,0.17749,1.35298,1.00868,0.90505,0.005842,0.005842,0.005842
86,901.492,1.37523,0.98535,0.91505,0.40365,0.31164,0.29847,0.17296,1.36572,1.0273,0.9082,0.0057925,0.0057925,0.0057925
87,910.459,1.37471,0.98074,0.91494,0.41537,0.31472,0.31358,0.1815,1.34498,1.00702,0.90295,0.005743,0.005743,0.005743
88,919.39,1.36743,0.9776,0.91679,0.40982,0.32379,0.31421,0.18019,1.35538,1.00359,0.9043,0.0056935,0.0056935,0.0056935
89,928.518,1.36737,0.97742,0.9126,0.41354,0.317,0.30898,0.17748,1.35447,1.01353,0.90458,0.005644,0.005644,0.005644
90,938.021,1.37215,0.98602,0.91582,0.39984,0.32441,0.31055,0.17808,1.35379,1.00992,0.90535,0.0055945,0.0055945,0.0055945
91,946.678,1.3859,0.9828,0.91483,0.42299,0.31408,0.31146,0.17878,1.3549,1.01209,0.90439,0.005545,0.005545,0.005545
92,955.536,1.34696,0.96052,0.9146,0.41324,0.32125,0.31344,0.18147,1.35226,1.00979,0.90589,0.0054955,0.0054955,0.0054955
93,965.178,1.35065,0.96282,0.91249,0.42029,0.32546,0.31535,0.18132,1.35216,1.01027,0.90613,0.005446,0.005446,0.005446
94,974.308,1.39592,0.9946,0.9135,0.41916,0.31888,0.31337,0.18089,1.3494,1.00851,0.90411,0.0053965,0.0053965,0.0053965
95,983.43,1.36259,0.96343,0.91308,0.39888,0.31828,0.31008,0.17772,1.35824,1.00772,0.90883,0.005347,0.005347,0.005347
96,992.744,1.35898,0.97406,0.91493,0.42477,0.3189,0.31356,0.18143,1.34854,1.00957,0.90368,0.0052975,0.0052975,0.0052975
97,1001.86,1.36804,0.98003,0.91538,0.41197,0.31281,0.31317,0.18023,1.35782,1.00821,0.90523,0.005248,0.005248,0.005248
98,1011.16,1.35224,0.97072,0.9114,0.40843,0.3238,0.31463,0.18131,1.35675,1.00233,0.90433,0.0051985,0.0051985,0.0051985
99,1020.47,1.35271,0.96372,0.91076,0.41431,0.32172,0.31278,0.17966,1.35083,1.01444,0.9063,0.005149,0.005149,0.005149
100,1029.24,1.35416,0.95526,0.91095,0.43253,0.31374,0.31892,0.18331,1.36267,1.00902,0.90804,0.0050995,0.0050995,0.0050995
101,1038.43,1.35027,0.95036,0.9133,0.42637,0.31739,0.31542,0.18254,1.34656,1.00072,0.90225,0.00505,0.00505,0.00505
102,1047.19,1.35265,0.96249,0.91009,0.41631,0.31299,0.31147,0.18133,1.35203,0.99992,0.90449,0.0050005,0.0050005,0.0050005
103,1055.8,1.36219,0.95999,0.91242,0.40759,0.31062,0.30607,0.17575,1.35115,1.0051,0.90348,0.004951,0.004951,0.004951
104,1064.47,1.36947,0.96549,0.91289,0.41643,0.33312,0.32149,0.1854,1.34292,0.98724,0.90095,0.0049015,0.0049015,0.0049015
105,1074.17,1.35186,0.95656,0.90854,0.41193,0.32748,0.31584,0.18373,1.34046,0.98854,0.90203,0.004852,0.004852,0.004852
106,1082.58,1.34002,0.95215,0.90794,0.41741,0.3237,0.32077,0.18422,1.34675,0.99333,0.90324,0.0048025,0.0048025,0.0048025
107,1091.78,1.35125,0.96014,0.91247,0.40742,0.32597,0.31539,0.18174,1.3533,0.99522,0.90335,0.004753,0.004753,0.004753
108,1100.41,1.37181,0.96813,0.9146,0.41362,0.32165,0.31612,0.18294,1.34411,0.99782,0.90389,0.0047035,0.0047035,0.0047035
109,1109.49,1.3479,0.94278,0.90908,0.4187,0.32435,0.31923,0.18536,1.33694,0.99545,0.89924,0.004654,0.004654,0.004654
110,1118.22,1.35059,0.95115,0.91043,0.43448,0.32343,0.32232,0.18737,1.3363,0.98878,0.89975,0.0046045,0.0046045,0.0046045
111,1126.76,1.34044,0.94899,0.91087,0.40541,0.31872,0.31271,0.18144,1.34564,0.99236,0.90118,0.004555,0.004555,0.004555
112,1135.96,1.34087,0.95338,0.90666,0.43174,0.32256,0.32192,0.18654,1.33697,0.99066,0.90238,0.0045055,0.0045055,0.0045055
113,1144.87,1.34824,0.95182,0.90746,0.42103,0.32179,0.31759,0.18252,1.33844,0.98979,0.90325,0.004456,0.004456,0.004456
114,1154.68,1.35501,0.95516,0.90937,0.42235,0.32179,0.31946,0.18422,1.34729,0.98851,0.90397,0.0044065,0.0044065,0.0044065
115,1163.38,1.35971,0.95281,0.90999,0.41678,0.32725,0.31625,0.18399,1.33336,0.98859,0.90131,0.004357,0.004357,0.004357
116,1172.44,1.33773,0.93643,0.90624,0.41924,0.32768,0.32001,0.18354,1.34283,0.99146,0.90083,0.0043075,0.0043075,0.0043075
117,1180.94,1.34565,0.94213,0.90586,0.42675,0.32743,0.32496,0.18788,1.34338,0.98359,0.90027,0.004258,0.004258,0.004258
118,1190.05,1.35168,0.93894,0.90636,0.43804,0.33444,0.32829,0.18867,1.33284,0.9846,0.90012,0.0042085,0.0042085,0.0042085
119,1198.9,1.33566,0.94001,0.90595,0.42304,0.33297,0.32589,0.18842,1.34355,0.98492,0.90217,0.004159,0.004159,0.004159
120,1208.57,1.33679,0.93636,0.90746,0.43192,0.33139,0.32561,0.18784,1.32846,0.97792,0.89953,0.0041095,0.0041095,0.0041095
121,1217.17,1.33814,0.92861,0.90782,0.43934,0.3273,0.32778,0.19051,1.32707,0.98108,0.89824,0.00406,0.00406,0.00406
122,1226.33,1.34276,0.93147,0.90963,0.43898,0.32697,0.3236,0.18798,1.33306,0.99239,0.90031,0.0040105,0.0040105,0.0040105
123,1235.25,1.32854,0.92693,0.90696,0.42354,0.32954,0.32458,0.18768,1.32644,0.97585,0.89979,0.003961,0.003961,0.003961
124,1244.25,1.33194,0.93246,0.9027,0.42452,0.32547,0.32296,0.18702,1.32914,0.97702,0.89838,0.0039115,0.0039115,0.0039115
