epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,418.353,1.48087,1.07645,0.93684,0.38762,0.28799,0.28003,0.15918,1.43283,1.10424,0.92656,0.0091684,0.0091684,0.0091684
44,428.251,1.48427,1.09192,0.94463,0.38666,0.28899,0.27697,0.15518,1.44591,1.1205,0.92926,0.0091486,0.0091486,0.0091486
45,437.778,1.4611,1.08183,0.93906,0.39247,0.28179,0.2782,0.16089,1.42643,1.0971,0.92314,0.0091288,0.0091288,0.0091288
46,447.157,1.47027,1.08299,0.93936,0.36249,0.28892,0.27276,0.15649,1.42364,1.10177,0.92639,0.009109,0.009109,0.009109
47,457.151,1.45442,1.06458,0.93555,0.36638,0.28212,0.27324,0.15614,1.41392,1.10577,0.92244,0.0090892,0.0090892,0.0090892
48,466.397,1.45948,1.06196,0.93785,0.40225,0.29381,0.28322,0.16017,1.41504,1.08912,0.92448,0.0090694,0.0090694,0.0090694
49,475.571,1.4444,1.06113,0.93518,0.39605,0.29213,0.27946,0.16024,1.42202,1.09215,0.92814,0.0090496,0.0090496,0.0090496
50,484.612,1.44228,1.057,0.93168,0.39584,0.29777,0.28349,0.16076,1.40843,1.07571,0.92001,0.0090298,0.0090298,0.0090298
51,493.441,1.44299,1.05744,0.9334,0.37328,0.27909,0.26309,0.15102,1.44028,1.14883,0.9287,0.00901,0.00901,0.00901
52,503.195,1.45829,1.05737,0.93774,0.36264,0.2921,0.27194,0.15133,1.45718,1.09722,0.93028,0.0089902,0.0089902,0.0089902
53,512.006,1.45756,1.05065,0.93365,0.38869,0.29311,0.28322,0.16015,1.40998,1.09142,0.92209,0.0089704,0.0089704,0.0089704
54,521.209,1.44563,1.04717,0.93453,0.3754,0.30166,0.28387,0.1608,1.41866,1.09164,0.92361,0.0089506,0.0089506,0.0089506
55,530.92,1.451,1.05151,0.93382,0.4001,0.29682,0.28666,0.16294,1.41041,1.07131,0.91962,0.0089308,0.0089308,0.0089308
56,540.467,1.44792,1.04422,0.93457,0.38815,0.29518,0.2837,0.16292,1.40492,1.08905,0.92108,0.008911,0.008911,0.008911
